"","population","county","state","median_age","household_income","per_capita_income","poverty_count","poverty_rate","unemployment_rate"
"1",55380,"Autauga","Alabama",38.2,58731,29819,8340,15.0595882990249,1.69014084507042
"2",212830,"Baldwin","Alabama",43,58320,32626,21704,10.1978104590518,1.98562232767937
"3",25361,"Barbour","Alabama",40.4,32525,18473,6875,27.108552501873,3.34765979259493
"4",22493,"Bibb","Alabama",40.9,47542,20778,3740,16.6273951896145,2.92980038234117
"5",57681,"Blount","Alabama",40.7,49358,24747,7739,13.4168963783568,1.32279260068307
"6",10248,"Bullock","Alabama",40.2,37785,20877,2825,27.5663544106167,1.69789227166276
"7",19828,"Butler","Alabama",40.8,40688,21038,4397,22.1757111155941,2.92011297155538
"8",114618,"Calhoun","Alabama",39.6,47255,25345,19969,17.4222198956534,3.67307054738348
"9",33660,"Chambers","Alabama",42,42289,22729,5711,16.9667260843731,1.81224004753417
"10",25903,"Cherokee","Alabama",46.5,41919,24301,3560,13.7435818244991,1.78743774852334
"11",44055,"Chilton","Alabama",38.7,47468,24658,8302,18.8446260356373,2.72386789240722
"12",12925,"Choctaw","Alabama",46.3,35892,22308,2968,22.963249516441,2.76982591876209
"13",24128,"Clarke","Alabama",42.5,37404,22225,5484,22.7287798408488,4.47612732095491
"14",13337,"Clay","Alabama",43.3,40845,23519,2342,17.5601709529879,2.36934842918197
"15",14916,"Cleburne","Alabama",43.1,44741,23142,2531,16.9683561276482,2.420219898096
"16",51662,"Coffee","Alabama",39.3,55637,27806,7670,14.8465022647207,2.5821687120127
"17",54771,"Colbert","Alabama",42.4,48065,25536,8390,15.3183253911742,1.89698928264958
"18",12394,"Conecuh","Alabama",44.8,37837,19769,2161,17.4358560593836,3.47748910763273
"19",10757,"Coosa","Alabama",48.4,38990,23694,1399,13.005484800595,1.15273775216138
"20",37200,"Covington","Alabama",43.3,42189,23687,6756,18.1612903225806,3.63440860215054
"21",13844,"Crenshaw","Alabama",41.7,43163,24563,2065,14.9162091880959,1.4518925166137
"22",82853,"Cullman","Alabama",40.8,44918,23468,12133,14.6440080624721,2.21476591070933
"23",49277,"Dale","Alabama",37.3,47214,24645,8424,17.0951965419973,3.1657771374069
"24",39149,"Dallas","Alabama",39.6,33845,19612,11204,28.6188663822831,4.55184040460804
"25",71310,"DeKalb","Alabama",39.5,40440,21907,14833,20.8007292104894,1.70943766652643
"26",81144,"Elmore","Alabama",38.7,60891,29052,8820,10.8695652173913,2.03588681849551
"27",37057,"Escambia","Alabama",40,36275,19028,7551,20.3767169495642,4.26100331921095
"28",102748,"Etowah","Alabama",41.4,44637,24883,17625,17.1536185619185,2.43216412971542
"29",16494,"Fayette","Alabama",43.7,39856,22483,3146,19.0736025221293,2.60094579847217
"30",31466,"Franklin","Alabama",38.6,43514,21641,6007,19.0904468315007,2.03711943049641
"31",26417,"Geneva","Alabama",43.2,41732,21711,5743,21.7397887723814,2.22962486277776
"32",8324,"Greene","Alabama",40.9,24145,14884,3140,37.722248918789,3.73618452666987
"33",14809,"Hale","Alabama",40.5,34046,21191,3522,23.7828347626443,4.40272807076778
"34",17133,"Henry","Alabama",44.4,50017,25276,2316,13.5177727193136,2.52728652308411
"35",104702,"Houston","Alabama",40.1,47580,27097,18885,18.0369047391645,2.90634371836259
"36",51852,"Jackson","Alabama",43.1,41769,22596,9536,18.3908045977011,2.12335107613978
"37",659680,"Jefferson","Alabama",37.7,53901,32098,103417,15.6768433179724,3.19958161532864
"38",13885,"Lamar","Alabama",44.8,38364,22636,2827,20.3601008282319,3.66582643140079
"39",92556,"Lauderdale","Alabama",41,48094,28033,13175,14.2346255240071,2.15329098059553
"40",33058,"Lawrence","Alabama",42.4,44886,23450,5906,17.8655696049368,2.09329058019239
"41",161152,"Lee","Alabama",31.9,51463,27860,30423,18.8784501588562,2.53115071485306
"42",94727,"Limestone","Alabama",39.7,59686,28411,12436,13.1282527684821,2.84712911841397
"43",10079,"Lowndes","Alabama",42,30036,20209,2664,26.4311935707908,3.74045044151205
"44",18708,"Macon","Alabama",38.6,33370,20419,3995,21.354500748343,4.82681205901219
"45",362276,"Madison","Alabama",38.5,65449,36620,44038,12.1559253166094,2.57759277456966
"46",19321,"Marengo","Alabama",42.2,33241,25635,4174,21.6034366751203,3.03814502354951
"47",29866,"Marion","Alabama",44.3,35930,21311,5137,17.2001607178732,2.29022969262707
"48",95643,"Marshall","Alabama",38.8,45983,24453,19147,20.0192382087555,1.8286753865939
"49",414114,"Mobile","Alabama",37.9,47583,25861,76275,18.4188411886582,2.60990934863347
"50",21270,"Monroe","Alabama",43.3,30441,20527,5869,27.5928537846732,5.51010813352139
"51",226941,"Montgomery","Alabama",36.4,50124,29071,42442,18.7017771138754,3.13693867569104
"52",119213,"Morgan","Alabama",40.6,52156,27367,17126,14.3658829154539,2.33028277117428
"53",9293,"Perry","Alabama",36.9,23447,15055,2612,28.107177445389,3.12062843000108
"54",20243,"Pickens","Alabama",42.2,39848,23024,4204,20.7676727757743,3.96186336017389
"55",33333,"Pike","Alabama",31.2,37446,22453,7701,23.1032310323103,2.7450274502745
"56",22647,"Randolph","Alabama",43.4,43395,24721,3748,16.5496533757231,1.67792643617256
"57",57952,"Russell","Alabama",36.3,42443,23470,11775,20.3185394809498,2.80404472667035
"58",213432,"Shelby","Alabama",39.3,77799,38549,15742,7.37565126129165,1.88022414633232
"59",87989,"St. Clair","Alabama",40.3,58308,26409,10484,11.9151257543557,2.46735387377968
"60",12797,"Sumter","Alabama",35.6,24320,16799,3782,29.5538016722669,3.610221145581
"61",80387,"Talladega","Alabama",41.3,41325,23305,14653,18.2280717031361,3.59884060855611
"62",40541,"Tallapoosa","Alabama",44.7,45828,25217,7546,18.6132557164352,4.08475370612466
"63",207305,"Tuscaloosa","Alabama",33,53326,26789,34749,16.7622585079955,2.78912713152119
"64",64110,"Walker","Alabama",42.1,43629,23882,11440,17.8443300577133,3.47683668694431
"65",16541,"Washington","Alabama",43.7,41370,26752,3451,20.863309352518,2.64192007738347
"66",10681,"Wilcox","Alabama",40.5,31014,16841,3111,29.1264862840558,5.06506881378148
"67",23784,"Winston","Alabama",45.2,35788,22952,4127,17.3520013454423,3.0146316851665
"68",3385,"Aleutians East Borough","Alaska",42.5,69250,33939,465,13.7370753323486,2.74741506646972
"69",5698,"Aleutians West Census Area","Alaska",38.6,87466,39647,373,6.54615654615655,1.43910143910144
"70",293531,"Anchorage Municipality","Alaska",33.6,84928,41415,25861,8.81031305041035,3.03817995373572
"71",18134,"Bethel Census Area","Alaska",27.3,53553,19885,4980,27.4622256534686,7.78647843829271
"72",875,"Bristol Bay Borough","Alaska",42.9,79808,44168,61,6.97142857142857,5.71428571428571
"73",2246,"Denali Borough","Alaska",42.1,81719,34365,354,15.7613535173642,1.02404274265361
"74",4961,"Dillingham Census Area","Alaska",30.2,56898,25993,843,16.9925418262447,5.54323725055432
"75",99072,"Fairbanks North Star Borough","Alaska",31.3,76992,37025,7575,7.64595445736434,3.21988049095607
"76",2518,"Haines Borough","Alaska",44.7,58059,31731,278,11.0405083399523,2.34312946783161
"77",2139,"Hoonah-Angoon Census Area","Alaska",49.6,59803,36091,221,10.3319308087892,5.75035063113604
"78",32227,"Juneau City and Borough","Alaska",38.1,88390,43680,2440,7.57129115338071,2.53824432928911
"79",58464,"Kenai Peninsula Borough","Alaska",40.8,66064,34226,6913,11.8243705528188,3.33709633278599
"80",13800,"Ketchikan Gateway Borough","Alaska",39.7,72728,37590,1304,9.44927536231884,3.2463768115942
"81",13451,"Kodiak Island Borough","Alaska",33.9,85839,32876,1029,7.64998884841276,2.93658464054717
"82",8250,"Kusilvak Census Area","Alaska",24.1,36754,13762,3195,38.7272727272727,9.9030303030303
"83",1393,"Lake and Peninsula Borough","Alaska",34.8,44135,24836,229,16.4393395549174,8.39913854989232
"84",105369,"Matanuska-Susitna Borough","Alaska",35.2,75493,31232,10624,10.0826618834762,4.15492222570206
"85",9988,"Nome Census Area","Alaska",28.3,61048,23581,2080,20.8249899879856,7.68922707248698
"86",9792,"North Slope Borough","Alaska",35.2,79306,48730,983,10.0388071895425,5.44321895424837
"87",7715,"Northwest Arctic Borough","Alaska",27.8,60906,23780,1995,25.8587167854828,7.53078418664938
"88",3257,"Petersburg Borough","Alaska",42.8,69948,36112,186,5.71077678845563,2.17992017193737
"89",6407,"Prince of Wales-Hyder Census Area","Alaska",41.3,52379,27080,1098,17.1375058529733,5.44716716091775
"90",8640,"Sitka City and Borough","Alaska",39.5,73682,39615,731,8.46064814814815,2.80092592592593
"91",1107,"Skagway Municipality","Alaska",40.4,73906,39453,70,6.32339656729901,4.6070460704607
"92",6878,"Southeast Fairbanks Census Area","Alaska",36.8,70056,32193,737,10.7153242221576,5.04507124164001
"93",9243,"Valdez-Cordova Census Area","Alaska",38.1,79867,38907,714,7.72476468679,1.82841068917018
"94",2502,"Wrangell City and Borough","Alaska",49.4,53894,32286,194,7.75379696243006,3.0775379696243
"95",649,"Yakutat City and Borough","Alaska",36.9,71607,32198,48,7.3959938366718,3.23574730354391
"96",5377,"Yukon-Koyukuk Census Area","Alaska",35.2,41413,22718,1352,25.1441324158453,8.36897898456388
"97",71511,"Apache","Arizona",35,32508,15128,24963,34.9079162646306,3.03309980282754
"98",125867,"Cochise","Arizona",41.1,49260,26819,19476,15.4734759706675,2.35168868726513
"99",141274,"Coconino","Arizona",30.7,59460,27339,22539,15.9541033735861,3.88748106516415
"100",53546,"Gila","Arizona",50.2,43524,24251,11367,21.228476450155,3.36346319052777
"101",37996,"Graham","Arizona",33.6,51353,18683,7679,20.2100221075903,3.12664490999053
"102",9522,"Greenlee","Arizona",34.5,63473,25780,1250,13.1274942239025,2.44696492333543
"103",20793,"La Paz","Arizona",56.5,34643,22879,4592,22.0843553118838,2.89520511710672
"104",4328810,"Maricopa","Arizona",36.4,64468,33279,588350,13.591495122216,2.53198916099344
"105",207695,"Mohave","Arizona",51.6,45587,26166,33364,16.06393991189,3.07036760634584
"106",109270,"Navajo","Arizona",37.3,40067,18935,29663,27.1465177999451,4.43854671913608
"107",1027207,"Pima","Arizona",38.5,53379,29707,167823,16.3377975422675,3.2492963930347
"108",432793,"Pinal","Arizona",39.3,58174,24959,53276,12.3098109257774,2.7830856783728
"109",46480,"Santa Cruz","Arizona",36.7,41259,21480,10729,23.0830464716007,3.06368330464716
"110",228067,"Yavapai","Arizona",53.4,52451,30341,29085,12.7528314048065,2.35194043855534
"111",209468,"Yuma","Arizona",34.6,45243,21758,39608,18.9088548131457,4.01875226764947
"112",17914,"Arkansas","Arkansas",40.7,46696,26386,3041,16.9755498492799,2.71296192921737
"113",20270,"Ashley","Arkansas",41.7,44744,23391,3347,16.5120868278244,2.20029600394672
"114",41427,"Baxter","Arkansas",52.2,42260,26863,5360,12.9384218022063,1.86593284572863
"115",265759,"Benton","Arkansas",35.4,66362,34442,24767,9.31934572300468,1.21312918847527
"116",37331,"Boone","Arkansas",42.3,45374,24727,5369,14.3821488843053,2.06262891430714
"117",10874,"Bradley","Arkansas",40.6,43184,22945,2211,20.3329041750966,3.08074305683281
"118",5192,"Calhoun","Arkansas",44.5,46417,23688,680,13.0970724191063,1.86825885978428
"119",27965,"Carroll","Arkansas",45,46110,25295,4096,14.6468800286072,1.63418558912927
"120",10615,"Chicot","Arkansas",43.3,34147,20232,2872,27.0560527555346,3.38200659444183
"121",22386,"Clark","Arkansas",33.7,41620,21337,4017,17.9442508710801,0.960421692129009
"122",14889,"Clay","Arkansas",42.8,37233,22505,3106,20.8610383504601,2.33729599032843
"123",25100,"Cleburne","Arkansas",49.4,44483,27227,3452,13.7529880478088,1.85258964143426
"124",8128,"Cleveland","Arkansas",42.9,46684,24225,1475,18.1471456692913,2.18996062992126
"125",23776,"Columbia","Arkansas",35.7,36193,21189,5482,23.056864064603,4.58445491251682
"126",20858,"Conway","Arkansas",42.5,42802,25158,3649,17.4944865279509,3.07795570045067
"127",107345,"Craighead","Arkansas",34.2,47286,26948,17130,15.95789277563,3.06488425171177
"128",62739,"Crawford","Arkansas",38.6,46828,24547,10609,16.9097371650807,1.97803599037281
"129",48672,"Crittenden","Arkansas",35.2,40161,23172,10655,21.8914365548981,4.0844838921762
"130",16824,"Cross","Arkansas",40.9,46787,25380,2555,15.1866381359962,2.93628150261531
"131",7279,"Dallas","Arkansas",43.9,38072,20517,955,13.1199340568759,1.40129138617942
"132",11709,"Desha","Arkansas",40.1,31893,19235,3363,28.721496284909,3.46741822529678
"133",18417,"Drew","Arkansas",37.4,46997,25543,3268,17.7444752131183,1.73209534669056
"134",123624,"Faulkner","Arkansas",32.8,52827,26913,19778,15.9985116158675,1.8434931728467
"135",17738,"Franklin","Arkansas",41.2,38923,20480,4005,22.5786447175555,1.1951742022776
"136",12231,"Fulton","Arkansas",48.4,35405,19697,2491,20.3662823971875,2.003106859619
"137",98555,"Garland","Arkansas",45,44777,27171,18032,18.2963827304551,2.42707117852976
"138",18126,"Grant","Arkansas",41,55388,28153,2596,14.3219684431204,1.73783515392254
"139",44937,"Greene","Arkansas",38,47056,23494,7246,16.1247969379353,3.44927342724258
"140",21842,"Hempstead","Arkansas",40.4,42860,21521,4892,22.3972163721271,2.03735921618899
"141",33597,"Hot Spring","Arkansas",41.3,43889,21866,5658,16.8407893561925,2.50319969044855
"142",13311,"Howard","Arkansas",39.2,36059,24481,2539,19.0744497032529,3.08015926677184
"143",37427,"Independence","Arkansas",39.3,44319,23733,6049,16.162128944345,2.1107756432522
"144",13570,"Izard","Arkansas",47.9,42876,21164,1906,14.0456890198968,3.28666175386883
"145",17027,"Jackson","Arkansas",39.7,34109,20295,3489,20.4909849063252,2.64286133787514
"146",69282,"Jefferson","Arkansas",38.7,40726,21472,13960,20.1495337894403,3.79030628446061
"147",26372,"Johnson","Arkansas",38.4,38511,21010,5833,22.1181556195965,1.56605490671925
"148",6800,"Lafayette","Arkansas",47,32397,25876,1721,25.3088235294118,2.10294117647059
"149",16549,"Lawrence","Arkansas",40.8,39993,21473,2497,15.088524986404,3.09988518943743
"150",9194,"Lee","Arkansas",42.5,29681,16968,1668,18.1422666956711,4.24189688927561
"151",13455,"Lincoln","Arkansas",39,46596,14764,1667,12.3894463024898,0.572277963582311
"152",12347,"Little River","Arkansas",42.9,45113,25759,1952,15.8095083826031,4.40592856564348
"153",21668,"Logan","Arkansas",42,41466,21491,3995,18.4373269337272,2.76906036551597
"154",72528,"Lonoke","Arkansas",36.2,59094,27293,8775,12.098775645268,1.67107875579087
"155",16211,"Madison","Arkansas",42.7,41682,24356,2798,17.259885263093,1.82592067114922
"156",16476,"Marion","Arkansas",52.2,36719,21395,2960,17.9655256130129,1.76620538965768
"157",43572,"Miller","Arkansas",39.5,43371,23729,8456,19.4069585972643,3.07766455521895
"158",42126,"Mississippi","Arkansas",36.6,39962,22750,10017,23.7786640079761,4.18743768693918
"159",7050,"Monroe","Arkansas",47.3,38468,23538,1887,26.7659574468085,3.43262411347518
"160",8950,"Montgomery","Arkansas",50.4,35741,22631,1875,20.9497206703911,2.99441340782123
"161",8351,"Nevada","Arkansas",44.3,38042,19912,1883,22.5481978206203,2.35899892228476
"162",7812,"Newton","Arkansas",49,38082,19735,1226,15.6938044034818,1.34408602150538
"163",23830,"Ouachita","Arkansas",43,35425,21562,5428,22.7780109106169,3.36550566512799
"164",10355,"Perry","Arkansas",43.7,48667,23164,1830,17.6726219217769,2.13423466924191
"165",18606,"Phillips","Arkansas",38.9,29320,18651,6362,34.1932709878534,4.28356444157799
"166",10756,"Pike","Arkansas",43.1,40401,23362,1627,15.1264410561547,2.10115284492376
"167",23896,"Poinsett","Arkansas",40.1,40921,20963,5000,20.9240040174088,2.54017408771342
"168",20094,"Polk","Arkansas",43.9,37974,23103,4747,23.6239673534388,3.68269135065194
"169",63761,"Pope","Arkansas",35.3,43462,23391,11349,17.7992816925707,2.85911450573234
"170",8189,"Prairie","Arkansas",47.2,42660,25789,1180,14.4095738185371,3.19941384784467
"171",392967,"Pulaski","Arkansas",37.2,51749,32692,64988,16.5377754366143,2.28848732845252
"172",17695,"Randolph","Arkansas",41.1,37218,23248,3241,18.3159084487143,1.79146651596496
"173",119415,"Saline","Arkansas",39.6,64412,30553,10815,9.05665117447557,1.88167315663861
"174",10376,"Scott","Arkansas",40.7,36092,18281,1967,18.9572089437163,3.19969159599075
"175",7908,"Searcy","Arkansas",47.9,36438,20410,1702,21.5225088517956,1.54274152756702
"176",127591,"Sebastian","Arkansas",37.6,46228,25961,23271,18.2387472470629,2.25329372761402
"177",17081,"Sevier","Arkansas",35.3,47704,22320,3590,21.017504829928,2.49985363854575
"178",17139,"Sharp","Arkansas",47.6,34671,21423,3743,21.8390804597701,1.56951980862361
"179",25900,"St. Francis","Arkansas",38.8,35348,18447,5585,21.5637065637066,2.16216216216216
"180",12475,"Stone","Arkansas",50.1,38188,20695,2449,19.6312625250501,2.42885771543086
"181",39449,"Union","Arkansas",40.3,44663,25193,7444,18.8699333316434,2.06595857943167
"182",16642,"Van Buren","Arkansas",48,38499,22168,3041,18.2730441052758,2.74005528181709
"183",232289,"Washington","Arkansas",32,50451,27790,36730,15.8121994584332,2.40519353047282
